"id", "Date", "Type", "CapNo", "ExptType", "investigator", 
 425, 2013-05-29, C, 1, Midi, 1,  
 426, 2013-05-29, C, 3, Midi, 1,  
 427, 2013-07-16, E, 2, Midi, 1,  
 428, 2013-06-17, F, 2, Midi, 1,  
 429, 2013-06-14, E, 2, Midi, 1,  
 430, 2013-06-14, E, 3, Midi, 1,  
 431, 2013-06-14, E, 4, Midi, 1,  
 432, 2013-06-11, E, 2, Midi, 1,  
 433, 2013-06-06, C, 2, Midi, 1,  
 434, 2013-05-24, C, 2, Midi, 1,  
 435, 2013-05-24, C, 4, Midi, 1,  
 436, 2013-05-17, C, 2, Midi, 1,  
 437, 2013-05-16, C, 2, Midi, 1,  
 438, 2013-05-16, C, 3, Midi, 1,  
 439, 2013-05-15, C, 2, Midi, 1,  
 440, 2013-05-15, C, 5, Midi, 1,  
 441, 2013-05-15, C, 51, Midi, 1,  
 442, 2013-06-03, D, 2, Midi, 1,  
 443, 2013-06-10, C, 11, Midi C01a, 1,  
 444, 2016-08-02, C, 1, B4b_C01, 5,  
 445, 2016-08-02, C, 2, B4b_C02, 5,  
 446, 2016-08-02, C, 3, B4b_C03, 5,  
 447, 2014-03-10, I, 3, I03 - for adhesion demonstration, 1,  
 448, 2016-08-16, T, 1, TestCells, 1,  
 449, 2014-05-21, C, 1, C01 Early Expt, 1,  
 450, 2014-05-21, C, 3, C03 Early Expt for Aqusition Traces, 1,  
 451, 2016-09-14, C, 1, G41_LaCL3_Selectivity, 5,  
 452, 2016-09-14, C, 2, G41_LaCL3_Selectivit, 5,  
 453, 2016-09-15, C, 1, lacl3_0.01_selec, 5,  
 454, 2016-09-21, C, 1, lacl3_1_selec, 5,  
 455, 2016-09-21, C, 2, lacl3_1_selec, 5,  
 456, 2016-09-21, C, 3, lacl3_1_selec, 5,  
 457, 2016-09-30, C, 1, G41_LaCl3BG_KCL, 5,  
 458, 2016-09-30, C, 2, G41_LaCl3BG_KCL_2, 5,  
 459, 2016-10-04, C, 1, G41_LaCl3GB0.1 , 5,  
 460, 2016-10-04, C, 2, G41_LaCl3GB0.1_2, 5,  
 461, 2016-10-05, C, 1, G41_KCL_LIPID, 5,  
 462, 2016-10-05, C, 10, G41_KCL_LIPID, 5,  
 463, 2016-10-15, C, 1, G41_dip_lowConcLipid, 5,  
 464, 2016-10-15, C, 2, Bare_dip_lowConcLipid, 5,  
 465, 2016-10-14, C, 1, G41_KCL_Lipid_LowConc, 5,  
 466, 2016-10-17, C, 1, G41_KCL_Lipid_LowConc, 5,  
 467, 2016-10-17, C, 2, G41_KCL_Lipid_LowConc, 5,  
 468, 2016-10-17, C, 3, G41_KCL_Lipid_LowConc, 5,  
 469, 2016-10-17, C, 4, G41_KCL_Lipid_LowConc, 5,  
 470, 2016-10-26, I, 1, G41_KCL_Lipid_LowC, 5,  
 471, 2016-10-26, I, 2, G41_KCL_Lipid_LowC_2, 5,  
 472, 2016-10-26, I, 3, G41_KCL_Lipid_LowC_3, 5,  
 473, 2016-10-26, I, 4, G41_KCL_Lipid_LowC_4, 5,  
 474, 2016-10-26, I, 5, G41_KCL_Lipid_LowC_5, 5,  
 475, 2016-11-01, C, 1, LaCL3_Bare_Control_1M, 5,  
 476, 2016-11-01, C, 2, LaCL3_Bare_Control_1M, 5,  
 477, 2016-11-01, C, 3, LaCL3_Bare_Control_1M, 5,  
 478, 2016-11-01, C, 4, LaCL3_Bare_Control_1M, 5,  
 479, 2016-11-02, C, 1, LaCl3_Bare_Control_0_1M, 5,  
 480, 2016-11-02, C, 2, LaCl3_Bare_Control_0_1M, 5,  
 481, 2016-11-04, A, 10, A10 evaluating AC event detection, 1,  
 482, 2016-11-04, A, 11, A11 evaluating AC event detection, 1,  
 483, 2016-11-04, A, 13, A13 evaluating AC event detection, 1,  
 484, 2016-11-04, A, 14, A14 Evaluating AC event detection, 1,  
 485, 2016-11-08, Z, 1, Stability of Au on glass slide in KCl with applied voltage, 1,  
 486, 2016-11-04, C, 1, LaCl3_Bare_Control, 5,  
 487, 2016-11-04, C, 2, LaCl3_Bare_Control_2, 5,  
 488, 2016-11-04, C, 3, LaCl3_Bare_Control_3, 5,  
 489, 2016-11-09, C, 1, LaCl3_2M, 5,  
 490, 2016-11-09, C, 2, LaCl3_2M_2, 5,  
 492, 2016-12-02, C, 1, C01 - V break and AC test with Dumbell, 1,  
 493, 2016-12-02, C, 2, C02 V break and AC test with Dumbell, 1,  
 494, 2016-12-07, T, 1, TestCell of electrodeposition code using 1M test, 1,  
 495, 2016-11-29, C, 1, LaCl3_1M, 5,  
 496, 2016-11-29, C, 2, LaCl3_1M, 5,  
 497, 2016-11-29, C, 3, LaCl3_1M, 5,  
 498, 2016-12-05, C, 1, LaCl3_1M, 5,  
 499, 2016-12-05, C, 2, LaCl3_1M, 5,  
 500, 2016-12-05, C, 3, LaCl3_1M, 5,  
 501, 2016-12-05, C, 4, LaCl3_1M, 5,  
 502, 2016-12-09, C, 1, LaCl3_0.1M, 5,  
 503, 2016-12-09, C, 2, LaCl3_0.1M, 5,  
 504, 2016-12-09, C, 3, LaCl3_0.1M, 5,  
 508, 2016-12-09, I, 20, I20 - electro deposition of copper into glass capillary, 1,  
 509, 2016-12-09, I, 21, I21 deposition of Cu in to capillary, 1,  
 510, 2016-12-09, I, 5, I05 - I type sealed in to FLG, 1,  
 511, 2016-12-09, I, 6, I06 - attempt to use FLG graphene to detect affect on dye of high E Field, 1,  
 512, 2016-12-12, A, 1, A01- controls of DC and high frequency AC, 1,  
 513, 2016-12-12, A, 2, A02 - Controls of translocations, 1,  
 514, 2016-12-14, C, 1, LaCl3_0.01BG, 5,  
 515, 2016-12-14, C, 2, LaCl3_0.01BG, 5,  
 516, 2016-12-15, C, 1, LaCl3_0.01BG, 5,  
 517, 2016-12-15, C, 2, LaCl3_0.01BG, 5,  
 518, 2016-12-15, C, 3, LaCl3_0.01BG, 5,  
 519, 2016-12-14, I, 4, I04 - bilayer graphene on I for dye experiment unsuccessful, 1,  
 520, 2016-12-14, I, 5, I05 - bilayer graphene on I for dye experiment unsuccessful, 1,  
 521, 2016-12-15, A, 5, A05 - controls of events in A type with AC at 4M, 1,  
 522, 2016-12-15, A, 6, A06 - controls of events in A type with AC at 4M, 1,  
 523, 2016-12-15, C, 4, LaCl3_2BG, 5,  
 524, 2016-12-19, C, 1, C01 - AC Translocations test through hBN 4M LiCl, 1,  
 526, 2016-12-21, T, 1, T01 - ITO 100um Cell to test dyes with voltage, 1,  
 527, 2016-12-21, T, 2, T02 - ITO cell to test dye with voltage, 1,  
 528, 2017-01-05, J*, 1, J01 - fisrt tripple barrel capillary, not filled? Program not stable, 1,  
 529, 2016-01-05, J*, 2, J02 - 2nd J* capillary, plasma cleaned, program not stable, 1,  
 530, 2017-01-06, J*A, 1, J01, 1,  
 531, 2017-01-06, J*B, 2, J02, 1,  
 532, 2017-01-06, J*C, 3, J*c03 - testing tripple barrel capillaries c, 1,  
 533, 2017-01-06, J*, 4, J*04 - 2nd test as previsou days of triple, 1,  
 534, 2017-01-06, J*, 5, J*05 - 2nd test as previous days as triple, 1,  
 535, 2017-01-10, A, 1, A01 - Dumbell test with AC  and DC - not a new electrode, controls noisy, 1,  
 536, 2017-01-10, A, 2, A02 - dumbell test, AC and DC, New electrode, better, no controls, 1,  
 537, 2017-01-12, C, 2, C02 - 4M liCl, 1,  
 538, 2017-01-12, C, 3, C03 - hBN Voltage break and translocations with AC and DC, 1,  
 539, 2017-01-16, C, 1, LaCl3_2BG, 5,  
 540, 2017-01-16, C, 2, LaCl3_2BG, 5,  
 541, 2017-01-06, T, 6, T01 - ITO cell made with a 3um mylar spacer and dye in aq sln, 1,  
 542, 2017-01-11, T, 1, T01 - solid state cell, ac is interesting as should be able to calculate capacitance, 1,  
 543, 2017-01-16, C, 3, LaCl3_2BG, 5,  
 544, 2017-01-16, C, 4, LaCl3_2BG, 5,  
 545, 2017-01-17, C, 1, KCl_FET, 5,  
 546, 2017-01-17, C, 2, KCl_FET, 5,  
 547, 2017-01-18, J, 1, J01 - j*e  developing pulling program for 3 barrel, 1,  
 548, 2017-01-18, J, 2, J02 - j*f  developing pulling program for 3 barrel, 1,  
 549, 2017-01-18, J, 3, J03 - J*f  developing pulling program for 3 barrel, 1,  
 550, 2017-01-19, C, 1, C01  - dumbells test 2 higher sample rates and filter, 1,  
 551, 2017-01-24, A, 3, A03 - Bare Control with filter unit, 1,  
 552, 2017-01-25, C, 1, KCl_FET_Biased_10nm_Au, 5,  
 553, 2017-01-25, C, 2, KCl_FET_Biased_10nm_Au, 5,  
 554, 2017-01-26, J*f, 1, J01 = J*f test  - good tripple barrel capillary, 1,  
 555, 2017-01-26, J*f, 2, J02 - J*f capillary a bit large but okay, 1,  
 556, 2017-01-26, J*c', 3, J03  - J*c' quite big, 1,  
 557, 2017-01-27, A, 1, A01 - controls of Dumbells with high sample rate and filter checking noise, 1,  
 558, 2017-01-27, A, 2, A02 - controls of Dumbells with high sample rate and filter checking noise, 1,  
 559, 2017-01-27, A, 3, A03 - controls of Dumbells with high sample rate and filter checking noise, 1,  
 561, 2017-01-31, C, 1, KCL_FET_Biased, 5,  
 562, 2017-01-31, C, 2, KCL_FET_Biased, 5,  
 564, 2017-02-02, T, 1, T01 - P type FET Farnell Part No: 1794820, 1,  
 565, 2017-02-02, T, 2, T02 - N type FET Farnell Part No 9803068, 1,  
 566, 2017-02-03, C, 1, C01 - hBN V break and translocations, larger pore created and higher filters used, 1,  
 567, 2017-02-04, C, 1, Selec_CeCl3_G41_C, 5,  
 568, 2017-02-04, C, 2, Selec_CeCl3_G41_C cation selective, 5,  
 569, 2017-02-04, C, 3, Selec_CeCl3_G41_C, 5,  
 570, 2017-02-05, C, 1, Selec_CeCl3_G41_C, 5,  
 571, 2017-02-05, C, 2, Selec_CeCl3_G41_C, 5,  
 572, 2017-02-07, C, 1, C01 - V break hBN to large pore and test with higher filter rates, 1,  
 573, 2017-02-07, C, 2, C02 - odd capillary showing rectification that wouldn't seal on hBN B3, 1,  
 575, 2017-02-07, C, 3, C03 - V break hBN to larger pore and test with higher filter rates, 1,  
 576, 2017-02-08, C, 1, KCL_FET_Biased, 5,  
 577, 2017-02-08, C, 2, KCL_FET_NoAU_Biased, 5,  
 578, 2017-02-13, C, 2, C02 - 2M attempt at translocations using high filter rates and marker, 1,  
 579, 2017-02-14, C, 1, Seletivity of Spermadine Tetrachloride with G41, 5,  
 580, 2017-02-14, C, 2, Seletivity of Spermadine Tetrachloride with G41, 5,  
 581, 2017-02-14, C, 3, Seletivity of Spermadine Tetrachloride with G41, 5,  
 582, 2017-02-15, C, 2, C02 - B4 Dumbells measurements high sample and filter, 1,  
 583, 2017-02-15, C, 3, C03 - B4 v break and translocations attempts high filter and sample, 1,  
 584, 2017-02-20, C, 2, C02  - V breask and high sample rates with filter now on G41, 1,  
 585, 2017-02-20, C, 5, C05, 1,  
 586, 2017-02-21, C, 1, C01 - G41 and KCL V break pore and translocate with high freq, 1,  
 587, 2017-02-21, C, 2, C02 - V break but broke too large, 1,  
 588, 2017-02-22, C, 1, FET with G81 and 5nm of Au (APTMS treated), 5,  
 589, 2017-03-01, C, 1, G81_FET, 5,  
 590, 2017-03-01, C, 2, G81_FET_5nm_Au, 5,  
 591, 2017-03-02, C, 1, C01 Looking for noise sources, 1,  
 592, 2017-03-03, C, 1, C01 - Attempt to v break by transferring to a different mount - but wasn't able to transfer, 1,  
 593, 2017-03-03, C, 2, C02, 1,  
 594, 2017-03-03, C, 3, C03 Successful experiment with high filter rate and no adapter. NB inverted when pore small and correct when larger, 1,  
 595, 2017-03-08, I, 1, I01 - Testing G41 with Q dots (at high conc) sealed and applying voltages, 1,  
 596, 2017-03-08, C, 2, G81_FET_Tecella, 5,  
 597, 2017-03-08, C, 3, G81_FET_Tecella, 5,  
 598, 2017-03-07, C, 1, C01  - V breka dn markers testing noise too high but not connector mount, 1,  
 599, 2017-03-07, C, 2, C02 - v break attempts quite high noise no connector mount, 1,  
 600, 2017-03-10, C, 1, C01 - marker with graphene, high filter rates etc using no connection mount, 1,  
 601, 2017-03-13, A, 1,  A01 - control of bare with markers, high sample and filter. Discovered that noise could be reduced by improcing the connection to the headstage, 1,  
 602, 2017-03-13, A, 2,  A02 - control of bare with marker, possible noise starting to increase but head stageshould be clean, 1,  
 603, 2017-03-13, A, 3,  A03 - vyer large pore control unlikely to see translocations, 1,  
 604, 2017-03-14, I, 1, I01 - atetmpt to use 2um capillary to seal on to graphene but failed due to micormanipulator set up, 1,  
 605, 2017-03-14, I, 2, I02 - sealed on to graphene with dots and good spectra, capillary slightly blcoked and hard to focus at tip, 1,  
 606, 2017-03-16, C, 1, C01 - V break of G41 but then blcoked so didn't get good data, 1,  
 607, 2017-03-16, T, 2, T02 - 10M test resistor, 1,  
 608, 2017-03-16, C, 4, C04 - good V break and events, reduced noise considerably with better connection and no adapter, 1,  
 609, 2017-03-17, Z, 1, Z01; glass slide with graphene and Q dots on, test placing a solution on the graphene and use graphene and electrode as solution, 1,  
 610, 2017-03-21, C, 3, C03 - good capillary that then blocked, 1,  
 611, 2017-03-21, C, 4, C04  - DNA lengths with reduced noise aim for good discrimation, Then also markers, 1,  
 612, 2017-03-20, C, 1, 4MCap_LaCl3_G81, 5,  
 613, 2017-03-20, C, 2, 4MCap_LaCl3_G81, 5,  
 614, 2017-03-24, C, 1, C01 - G37 Al2O V break and translocate marker - also looked at the effect of pressure on noise, 1,  
 615, 2017-03-24, T, 2, T02 - Bath test cell to check systm noise levels are low <3.5pA, 1,  
 616, 2017-03-27, C, 1, 4MCap_LaCl3_G81, 5,  
 617, 2017-03-27, C, 2, 4MCap_LaCl3_G81, 5,  
 618, 2017-03-27, C, 3, 4MCap_LaCl3_G81, 5,  
 619, 2017-03-28, C, 2, C02 - G41 with marker, V break pore may be slightly large, 1,  
 620, 2017-03-30, A, 1, A01 - Bare A type, 1,  
 621, 2017-03-30, A, 2, A02  - bare capillary with high noise, 1,  
 622, 2017-03-30, A, 3, A03 - Control of the marker some traces managed to get low noise, 1,  
 623, 2017-03-30, A, 4, A04 - Ladder control at 2M, noise not ideal, 1,  
 624, 2017-03-30, A, 5, A05  - Ladder control at 2M noise level not that good, 1,  
 625, 2017-03-30, T, 6, T06 - Bath test cell to confirm that system noise is very low, 1,  
 626, 2017-03-31, J, 1, J01 - attempt to plate into outer barrels, not clear if filled at all, or that CuH2SO4 is reaching the electode as filled with KCl, 1,  
 627, 2017-04-04, C, 1, 3MCap_LaCl3_G81, 5,  
 628, 2017-04-04, C, 2, 3MCap_LaCl3_G81, 5,  
 629, 2017-04-05, C, 1, 2MCap_LaCl3_G81, 5,  
 630, 2017-04-05, C, 2, 2MCap_LaCl3_G81, 5,  
 631, 2017-04-05, C, 3, 2MCap_LaCl3_G41, 5,  
 632, 2017-04-05, C, 4, 2MCap_LaCl3_G41, 5,  
 633, 2017-04-07, C, 1, 2MCap_LaCl3_G41, 5,  
 635, 2017-04-07, C, 3, 2MCap_LaCl3_G41, 5,  
 636, 2017-04-07, C, 4, 2MCap_LaCl3_G41, 5,  
 637, 2017-04-07, C, 5, 2MCap_LaCl3_G41, 5,  
 638, 2017-04-10, C, 1, 3MCap_LaCl3_0.01MRes_G41, 5,  
 641, 2017-04-12, C, 1, CeCl3_Selec_G81b, 5,  
 642, 2017-04-12, C, 2, CeCl3_Selec_G81b, 5,  
 643, 2017-04-11, A, 1, A01 - Capillary to test noise, 1,  
 644, 2017-04-11, A, 2, A02 - Capillary to test noise used on both my set up and the nanopore set up, 1,  
 645, 2017-04-11, A*, 3, NE24 Channel 2 - test of a PDMS cell using my DNA sample, 1,  
 646, 2017-04-11, A*, 4, NE24 Channel 3 - test of a PDMS cell using my DNA sample, 1,  
 647, 2017-04-11, A*, 5, NE24 Channel 4 - test of a PDMS cell using my DNA sample, 1,  
 648, 2017-04-11, A*, 6, NE24 Channel 5 - test of a PDMS cell using my DNA sample, 1,  
 649, 2017-04-13, C, 2, C02 - First experiment with threaded electrode but not well mounted, V break with pulse but no translocations, 1,  
 650, 2017-04-18, C, 1, C01 - Re test of threaded capillary and mounting also looking at noise, 1,  
 651, 2017-04-19, C, 1, C01 - Full experiment with threaded capillary electrode and pH controlled solutions pulsed V break, 1,  
 652, 2017-04-20, C, 1, C01 - V break using pulses pH8 in G14 and translocations of marker, 1,  
 653, 2017-04-20, C, 2, C02 - V break using pulses pH8 in G14 and translocations of marker, 1,  
 654, 2017-04-21, C, 2, C02 - V break and Translocation of low conc markers through MLG. Note electrode threaded and pulse break, 1,  
 655, 2017-04-24, C, 2, C02 - MLG graphene, pulse break and translocations of marker at a range of concs, 1,  
 656, 2017-04-25, C, 2, C02 - 4M  with correctly buffered pH and threaded electrode through MLG, 1,  
 658, 2017-04-26, T, 1, T01 - 10M test cell to ceck that the axopatch and real earth amplifiers are close, 1,  
 659, 2017-04-26, C, 2, C02 - hBN V break with pulses but not events, 1,  
 660, 2017-04-26, C, 3, C02b - hBN V break with pulses and attempted translocations - blocking observed, 1,  
 661, 2017-04-27, A, 1, A01 - Experiments with Nikita, Capillary not working, 1,  
 662, 2017-04-27, A, 3, A03 - Experiments with Nikita, some evidence of capillary working but also pore blocking, 1,  
 663, 2017-04-27, A, 6, A06 - Experiment with Nikita, newly pulled capillary, Some good data sets, 1,  
 664, 2017-04-27, A, 7, A07 - Experiments with Nikita, newly pulled capillary (cleaned using Nikita's method). Good events at depth and surface, 1,  
 665, 2017-04-28, Cb, 1, C01 - TWEEN experiment with 2M LiCl G41, Pulse V break and events, 1,  
 667, 2017-04-28, Cb, 2, C02 - Experiment with TWEEN G41 - successful V break but capillary broke before data could be acquired, 1,  
 668, 2017-05-02, Cb, 1, C01 - More 2M LiCl data using TWEEN, 1,  
 669, 2017-05-02, Cb, 2, C02 - V break with TWEEN present - - but broke after so no events, 1,  
 670, 2017-05-03, Cb, 6, C06 - 1M LiCl translocation data , 1,  
 671, 2017-05-03, H, 1, H01  - Dots on graphene - now secured by pyridine. Spectra measured form sealed tip but couldn't detect PL change, 1,  
 672, 2017-05-03, Z, 2, Z02 - ITO with dots stuck using pyridine. Applying voltage and looking at effect of Voltage applied between Ito and reservoir, 1,  
 673, 2017-05-03, Z, 3, Z03 - ITO with dots stuck using pyridine. Applying voltage to solution, 1,  
 674, 2017-05-03, Cb, 4, C04  - noise through a C type capillary at 1M, 1,  
 675, 2017-05-03, Cb, 5, C05, 1,  
 676, 2017-04-27, Z, 8, Z08 - dots on ITO secured with pyridine, showing changes when voltage applied voltages applied, 1,  
 677, 2017-04-25, Z, 3, Z03 - dots on ITO slides secured with pyridine - no voltages applied but tested with MQ and 1M solution to ensure stability, 1,  
 678, 2017-05-09, C, 1, CeCl3_Selec_G81b, 5,  
 679, 2017-05-09, C, 2, CeCl3_Selec_G81b, 5,  
 680, 2017-05-13, C, 1, CeCl3_Selec_G81b_01, 5,  
 681, 2017-05-12, A, 1, Bare Capillary DNA, 5,  
 682, 2017-05-12, A, 2, Bare Capillary DNA, 5,  
 683, 2017-05-10, Cb, 2, C02 - 4M Marker Data, 1,  
 684, 2017-05-11, Cb, 1, C01 - 1M LiCl V break and translocate marker, 1,  
 685, 2017-05-11, Cb, 2, C02 - 1M Marker Data, 1,  
 687, 2017-05-16, C, 2, G81 Capillary DNA, 5,  
 688, 2017-05-17, C, 1, G81 Capillary DNA, 5,  
 689, 2017-05-15, A, 4, A04 - Experiment with Nikita to look at effect of deep and surface - anchors, 1,  
 690, 2017-05-15, A, 7, A07 - experiment with Nikita to look at effect of Deep and surface - 8kb DNA, 1,  
 692, 2017-05-15, A, 9, A08  - Capillaries measured with NH - trying to investigate if measurements at the surface are different, 1,  
 693, 2017-05-18, Cb, 1, C01 - C type noise characterisation of capillary with TWEEN, 1,  
 694, 2017-05-18, Cb, 2, C02- TWEEN with a high DNA ladder conc but pore quire large, 1,  
 695, 2017-05-18, Cb, 3, C03 - V break and translocatins with TWEEN But high DNA conc of both Ladder and marker, 1,  
 696, 2017-05-22, C, 1, CeCl3_Selec_G81b_01, 5,  
 697, 2017-05-22, C, 2, CeCl3_Selec_G81b_01, 5,  
 698, 2017-05-22, C, 3, CeCl3_Selec_G81b_01, 5,  
 699, 2017-05-22, C, 4, CeCl3_Selec_G81b_01, 5,  
 700, 2017-05-24, C, 2, C02 - Graphene V break with 3 bit and mixture, 1,  
 701, 2017-05-25, A, 2, A02 - control of 2M ladder data and later mix of 3 and 6, 1,  
 702, 2017-05-25, A, 3, A03 - Control of new 3 bit structure, 1,  
 703, 2017-05-26, A, 1, A01 - Control of Marker Mixture, 1,  
 704, 2017-05-26, A, 2, A02 - Control of Marker Mixture, 1,  
 705, 2017-05-31, C, 1, C01 - graphene v break and 3 bit marker and mixture of 3 and 6, 1,  
 706, 2017-05-31, C, 2, C02 - Attempt to seal with noise characterisitcs of bare, 1,  
 707, 2017-05-31, C, 3, C03 - Just boise characterisitcs with head stage cooling on. Also an AC sweep with recording, 1,  
 708, 2017-06-01, A, 1, A01 - Control of low noise 3 and 6 bit marker, 1,  
 709, 2017-06-01, A, 2, A02 - Control of low noise 3 and 6 bit marker, 1,  
 710, 2017-06-01, A, 3, A03 - Control of low noise 3 and 6 bit marker, 1,  
 711, 2017-06-05, C, 1, C01 - V break and 3 bit marker at 2M with TWEEN, though pore slightly large, 1,  
 712, 2017-06-06, C, 1, KCl_Selec_B4a_01, 5,  
 713, 2017-06-06, C, 2, KCl_Selec_B4a_01, 5,  
 714, 2017-06-06, C, 3, KCl_Selec_B4b_01, 5,  
 715, 2017-06-07, C, 1, C01 - Capillary with TWEEN noise with and without filter, 1,  
 716, 2017-06-07, C, 2, C02 - TWEEN capillary noise impossible to get a seal, 1,  
 717, 2017-06-07, C, 3, C03 - TWEEN experiment, evetnually got a seal but possible pore opened very easily, mixture of 3 and 6 bit, 1,  
 718, 2017-06-12, C, 1, C01 - Capillary noise, 1,  
 719, 2017-06-12, C, 2, C02 - V break and translocate 3 bit and 6 bit, 1,  
 720, 2017-06-14, C, 1, C01  - V break and translocate - pore initially very large, 1,  
 721, 2017-06-14, C, 2, C02 - V break and translocate of a mixture of 3 and 6 bit, 1,  
 722, 2017-06-15, Z, 1, Z01 - Dots on Tantulm Oxide on ITO - good results First to use full labview code, 1,  
 723, 2017-06-15, Z, 2, Z02  Dots on Tantulm Oxide on ITO - good results, 1,  
 724, 2017-08-01, C, 1, Jeff_Test_Cap, 5,  
 725, 2017-08-03, C, 1, Jeff_Test_Cap, 5,  
 726, 2017-08-04, C, 1, Jeff_Test_Cap, 5,  
 740, 2017-11-28, C, 1, CeCl3_01M_Bertie, 5,  
 741, 2017-12-22, C, 1, CeCl3_0_01M, 5,  
 742, 2017-12-22, C, 2, CeCl3_0_01M, 5,  
 743, 2017-12-28, C, 1, CeCl3_0_1M, 5,  
 744, 2017-12-28, C, 2, CeCl3_0_1M, 5,  
 745, 2017-12-28, C, 3, CeCl3_0_01, 5,  
 746, 2017-12-28, C, 4, CeCl3_0_01, 5,  
 747, 2018-01-23, C, 1, CeCl3_0_1M_G81, 7,  
 748, 2018-01-23, C, 2, CeCl3_0_1M_G81, 7,  
 749, 2018-01-26, C, 1, CeCl3_0_1M_G81, 7,  
 750, 2018-01-26, C, 2, CeCl3_0_1M_G81, 7,  
 751, 2018-01-31, C, 1, CeCl3_0_001M_G81, 7,  
 752, 2018-01-31, C, 2, CeCl3_0_001M_G81, 7,  
 756, 2018-02-07, C, 1, CeCl3_0_01M_G81, 7,  
 757, 2018-02-07, C, 2, CeCl3_0_01M_G81, 7,  
 758, 2018-02-07, C, 3, CeCl3_0_01M_G81, 7,  
 759, 2018-02-13, C, 1, CeCl3_0_01M_G81, 7,  
 760, 2018-02-13, C, 2, CeCl3_0_01M_G81, 7,  
 761, 2018-02-13, C, 3, CeCl3_0_01M_G81, 7,  
 762, 2018-02-13, C, 4, CeCl3_0_01M_G81, 7,  
